id,cant_victimas,fecha,anio,mes,dia,hora,hora_int,dir,tipo_calle,calle,alt,cruce,dir_normalizada,comuna,point,longitud,latitude,victima,acusado
2017-0050,2,2017-04-28,2017,4,28,11:08:08,11,Au Perito Moreno Y Ramal Enlace Au1/Au6,Autopista,AUTOPISTA PERITO MORENO,0,Nan,Nan,9,"Point(0, 0)",.,0,Moto,Cargas
2017-0051,1,2017-05-01,2017,5,1,03:47:47,3,Au Dellepiane 2400,Autopista,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,0,Nan,Nan,7,"Point(0, 0)",.,0,Auto,Auto
2017-0052,1,2017-05-05,2017,5,5,03:40:00,3,Av. Gral. Paz Y Goleta Julia,Avenida,"PAZ, GRAL. AV.",0,Goleta Santa Cruz,"Paz, Gral. Av. Y Goleta Santa Cruz",8,Point (97173.99360188 94265.65054023),-58.49413799,-34.68095739,Peaton,Cargas
2017-0053,1,2017-05-05,2017,5,5,20:16:22,20,Vieytes Y Villarino,Calle,VIEYTES,0,Villarino,Vieytes Y Villarino,4,Point (108050.74089604 97335.15201103),-58.37547846,-34.65326075,Moto,Cargas
2017-0054,1,2017-05-07,2017,5,7,21:00:00,21,Av. De Los Constituyentes Y Pedro Moran,Avenida,DE LOS CONSTITUYENTES AV.,0,"Moran, Pedro","De Los Constituyentes Av. Y Moran, Pedro",15,Point (97843.76024114 104700.29820723),-58.48680218,-34.58689719,Moto,Auto
2017-0055,1,2017-05-09,2017,5,9,08:30:00,8,Av. De Los Constituyentes 4900,Avenida,DE LOS CONSTITUYENTES AV.,4900,Nan,De Los Constituyentes Av. 4900,12,Point (97032.68537217 105507.05805581),-58.49563989,-34.57962262,Auto,Auto
2017-0058,1,2017-05-09,2017,5,9,23:10:00,23,Av. Cordoba Y Libertad,Avenida,CORDOBA AV.,0,Libertad,Cordoba Av. Y Libertad,1,Point (107271.27725903 103337.46347012),-58.38403232,-34.59915940,Peaton,Moto
2017-0059,1,2017-05-11,2017,5,11,09:24:00,9,Brasil Y Lima,Calle,BRASIL,0,Lima,Brasil Y Lima,1,Point (107433.79647713 100255.68319210),-58.38223382,-34.62693865,Peaton,Pasajeros
2017-0060,1,2017-05-13,2017,5,13,07:20:00,7,Av. Escalada Y Av. Fernandez De La Cruz,Avenida,ESCALADA AV.,0,"Fernandez De La Cruz, F., Gral. Av.","Escalada Av. Y Fernandez De La Cruz, F., Gral. Av.",8,Point (100333.14201607 95123.00813458),-58.45966521,-34.67323292,Moto,Objeto Fijo
2017-0061,1,2017-05-15,2017,5,15,13:29:30,13,Paraguay Y Av. Callao ,Avenida,PARAGUAY,0,Callao Av.,Paraguay Y Callao Av.,2,Point (106445.10866138 103387.80115442),-58.39303911,-34.59871111,Peaton,Moto
