id,cant_victimas,fecha,anio,mes,dia,hora,hora_int,dir,tipo_calle,calle,alt,cruce,dir_normalizada,comuna,point,longitud,latitude,victima,acusado
2017-0137,1,2017-11-17,2017,11,17,11:45:00,11,Av. Gral. Enrique Mosconi Y San Nicolas,Avenida,MOSCONI GENERAL AV.,0,San Nicolas,Mosconi General Av. Y San Nicolas,11,Point (95458.27090734 104045.28333021),-58.51280715,-34.59279388,Peaton,Cargas
2017-0138,1,2017-11-19,2017,11,19,10:30:00,10,Av. Lafuente Y Av. Eva Peron,Avenida,LAFUENTE AV.,0,"Peron, Eva Av.","Lafuente Av. Y Peron, Eva Av.",7,Point (100065.47249269 98381.80497378),-58.46258582,-34.64385704,Moto,Objeto Fijo
2017-0139,1,2017-11-19,2017,11,19,22:30:00,22,Av. Cnel. Roca Y Av. Escalada,Avenida,"ROCA, CNEL. AV.",0,Escalada Av.,"Roca, Cnel. Av. Y Escalada Av.",8,Point (101160.07257435 94368.23344193),-58.45064148,-34.68003614,Auto,Objeto Fijo
2017-0140,1,2017-11-19,2017,11,19,23:22:17,23,Au Arturo Frondizi Pkm 3100,Autopista,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,0,Nan,Autopista 1 Sur Presidente Arturo Frondizi,4,"Point(0, 0)",.,0,Moto,Pasajeros
2017-0141,1,2017-11-23,2017,11,23,19:45:00,19,Av. La Plata Y Av. Pedro Goyena,Avenida,LA PLATA AV.,0,"Goyena, Pedro Av.","La Plata Av. Y Goyena, Pedro Av.",6,Point (103312.47684665 100458.27902411),-58.42717783,-34.62513374,Peaton,Pasajeros
2017-0143,1,2017-11-25,2017,11,25,21:45:00,21,Trelles Y Gral. Cesar Diaz,Calle,"TRELLES, MANUEL R.",0,"Diaz, Cesar, Gral.","Trelles, Manuel R. Y Diaz, Cesar, Gral.",11,Point (99897.24182072 102443.29154512),-58.46442001,-34.60724519,Auto,Pasajeros
2017-0144,1,2017-11-26,2017,11,26,06:45:00,6,Av. Cnel. Roca Y Colectora Av. Gral. Paz,Avenida,"ROCA, CNEL. AV.",0,"Paz, Gral. Av.","Roca, Cnel. Av. Y Paz, Gral. Av.",8,Point (99327.01838497 92326.91130631),-58.47064556,-34.69843756,Auto,Objeto Fijo
2017-0145,1,2017-11-26,2017,11,26,17:05:00,17,Maza Y Don Bosco,Calle,MAZA,0,Don Bosco,Maza Y Don Bosco,5,Point (104266.88124229 101889.22080612),-58.41677733,-34.61223119,Moto,Auto
2017-0147,1,2017-11-28,2017,11,28,11:15:00,11,Av. Gral. Paz Y Av. Eva Peron,Avenida,"PAZ, GRAL. AV.",0,"Peron, Eva Av.","Paz, Gral. Av. Y Peron, Eva Av.",9,Point (96405.76679348 94981.38013791),-58.50251790,-34.67450313,Moto,Auto
2017-0148,1,2017-11-29,2017,11,29,10:45:00,10,Av. San Juan Y La Rioja,Avenida,SAN JUAN AV.,0,La Rioja,San Juan Av. Y La Rioja,3,Point (105155.42991407 100540.06938064),-58.40708125,-34.62438894,Peaton,Pasajeros
2017-0149,1,2017-11-30,2017,11,30,12:20:00,12,Av. Paseo Colon Y Mexico,Avenida,PASEO COLON AV.,0,Mexico,Paseo Colon Av. Y Mexico,1,Point (108605.31247489 101604.53195530),-58.36947198,-34.61477051,Peaton,Pasajeros
2017-0150,1,2017-12-04,2017,12,4,01:15:00,1,Av. Rivadavia Y Miralla,Avenida,RIVADAVIA AV.,0,Miralla,Rivadavia Av. Y Miralla,9,Point (95589.03838155 98881.22999034),-58.51140889,-34.63934531,Peaton,Auto
2017-0151,1,2017-12-04,2017,12,4,02:15:00,2,Vieytes Y Lujan,Calle,VIEYTES,0,Lujan,Vieytes Y Lujan,4,Point (108130.20782757 97076.54120716),-58.37460912,-34.65559133,Peaton,Pasajeros
2017-0152,1,2017-12-06,2017,12,6,17:30:00,17,Cachi Y Traful,Calle,CACHI,0,Traful,Cachi Y Traful,4,Point (104752.14395609 97617.14934540),-58.41146277,-34.65073916,Bicicleta,Pasajeros
2017-0153,2,2017-12-11,2017,12,11,02:00:00,2,Rosario Y Av. La Plata,Avenida,ROSARIO,0,La Plata Av.,Rosario Y La Plata Av.,6,Point (103186.65733155 101217.09689755),-58.42855267,-34.61829385,Moto,Pasajeros
2017-0154,1,2017-12-11,2017,12,11,09:15:00,9,Av. Entre Rios Y Av. Caseros ,Avenida,ENTRE RIOS AV.,0,Caseros Av.,Entre Rios Av. Y Caseros Av.,4,Point (106688.43418876 99459.27505947),-58.39035581,-34.63412287,Peaton,Pasajeros
2017-0155,1,2017-12-12,2017,12,12,21:25:41,21,Av. Rivadavia 6350,Avenida,RIVADAVIA AV.,6350,Nan,Rivadavia Av. 6350,7,Point (100674.98109200 100299.64949548),-58.45593915,-34.62656868,Sd,Moto
2017-0157,1,2017-12-17,2017,12,17,09:02:00,9,Av. Gral. Paz Y Humaita,Avenida,"PAZ, GRAL. AV.",0,Humaita,"Paz, Gral. Av. Y Humaita",9,Point (94007.62506099 98145.35456663),-58.52866211,-34.64597065,Auto,Pasajeros
2017-0158,1,2017-12-18,2017,12,18,21:30:00,21,Gualeguaychu Y Colectora Av. Gral Paz,Avenida,GUALEGUAYCHU,0,"Paz, Gral. Av.","Gualeguaychu Y Paz, Gral. Av.",11,Point (94764.11350214 103903.32150283),-58.52037476,-34.59407024,Moto,Auto
2017-0159,1,2017-12-20,2017,12,20,04:31:27,4,Av. Independencia Y Virrey Cevallos,Avenida,INDEPENDENCIA AV.,0,"Cevallos, Virrey","Independencia Av. Y Cevallos, Virrey",1,Point (106817.01972475 101248.18030272),-58.38896772,-34.61799615,Moto,Auto
2017-0160,1,2017-12-22,2017,12,22,13:15:00,13,Av. Nazca 365,Avenida,NAZCA AV.,365,Nan,Nazca Av. 365,7,Point (99317.63492514 100172.19114010),-58.47074114,-34.62771756,Peaton,Moto
2017-0161,1,2017-12-26,2017,12,26,15:30:00,15,Av. Eva Peron 5249,Avenida,"PERON, EVA AV.",5249,Nan,"Peron, Eva Av. 5249",9,Point (98285.13000363 96624.14779705),-58.48200819,-34.65969965,Peaton,Auto
2018-0001,1,2018-01-01,2018,1,1,22:50:00,22,San Juan Av. Y Rincón,Avenida,SAN JUAN AV.,0,Rincon,San Juan Av. Y Rincon,3,Point (106229.70400707 100696.43939679),-58.39536773,-34.62297346,Peaton,Moto
2018-0002,1,2018-01-03,2018,1,3,16:40:00,16,Peru 937,Calle,PERU,937,Nan,Peru 937,1,Point (108138.18410245 101140.78821350),-58.37456088,-34.61895467,Bicicleta,Pasajeros
2018-0003,1,2018-01-05,2018,1,5,10:12:00,10,"Pueyrredon, Honorio, Dr. Av. Y Galicia",Avenida,"PUEYRREDON, HONORIO, DR. AV.",0,Galicia,"Pueyrredon, Honorio, Dr. Av. Y Galicia",15,Point (101348.13972450 102808.02053976),-58.44860217,-34.60395657,Peaton,Multiple
2018-0004,1,2018-01-09,2018,1,9,09:40:00,9,Del Libertador Av. Y Manzanares,Avenida,DEL LIBERTADOR AV.,0,Manzanares,Del Libertador Av. Y Manzanares,13,Point (100183.96103971 109533.84269558),-58.46129513,-34.54332766,Moto,Multiple
2018-0005,1,2018-01-09,2018,1,9,22:30:00,22,Paseo Colon Av. 1019,Avenida,PASEO COLON AV.,1019,Nan,Paseo Colon Av. 1019,1,Point (108641.50518777 101075.93727953),-58.36907201,-34.61953517,Peaton,Pasajeros
2018-0006,1,2018-01-10,2018,1,10,21:15:00,21,Valle Y Barco Centenera Del,Calle,VALLE,0,Barco Centenera Del,Valle Y Barco Centenera Del,6,Point (102079.59903748 100474.45881577),-58.44062219,-34.62499107,Bicicleta,Pasajeros
2018-0007,1,2018-01-11,2018,1,11,02:30:00,2,Au Perito Moreno  Km 0.6,Autopista,AUTOPISTA PERITO MORENO,0,Nan,Autopista Perito Moreno Km. 0.6,9,Point (94340.14761734 99250.24722124),-58.52502765,-34.63601265,Auto,Auto
2018-0008,1,2018-01-12,2018,1,12,17:50:00,17,"Huergo, Ing. Av. E Independencia Av.",Avenida,"HUERGO, ING. AV.",0,Independencia Av.,"Huergo, Ing. Av. E Independencia Av.",1,Point (108868.80749430 101370.51785663),-58.36659655,-34.61687778,Moto,Cargas
2018-0009,1,2018-01-14,2018,1,14,02:00:00,2,"Pilcomayo Y Brown, Alte. Av.",Avenida,PILCOMAYO,0,"Brown, Alte. Av.","Pilcomayo Y Brown, Alte. Av.",4,Point (108796.38792642 100177.06810505),-58.36737389,-34.62763661,Moto,Moto
2018-0010,1,2018-01-18,2018,1,18,05:10:00,5,"Cervantes Y Belaustegui, Luis, Dr.",Calle,CERVANTES,0,"Belaustegui, Luis, Dr.","Cervantes Y Belaustegui, Luis, Dr.",10,Point (96810.81688812 99875.56613013),-58.49807953,-34.63038658,Moto,Cargas
2018-0011,1,2018-01-19,2018,1,19,10:30:00,10,Callao Y Vte. Lopez,Avenida,CALLAO AV.,0,"Lopez, Vicente","Callao Av. Y Lopez, Vicente",2,Point (106639.47032605 104255.89970551),-58.39092703,-34.59088447,Peaton,Pasajeros
2018-0012,1,2018-01-26,2018,1,26,13:30:00,13,"Oliden Y Chilavert, Martiniano, Coronel",Calle,OLIDEN,0,"Chilavert, Martiniano, Coronel","Oliden Y Chilavert, Martiniano, Coronel",8,Point (99466.65991849 94317.70888094),-58.46912006,-34.68049201,Moto,Pasajeros
2018-0013,1,2018-01-28,2018,1,28,08:15:00,8,Congreso Av. Y Galvan,Avenida,CONGRESO AV.,0,Galvan,Congreso Av. Y Galvan,12,Point (97860.62977748 106812.00802724),-58.48661286,-34.56786129,Moto,Auto
2018-0014,1,2018-01-31,2018,1,31,20:00:00,20,"Moreno, Perito Av. Y Rivera Indarte",Avenida,"MORENO, PERITO AV.",0,Rivera Indarte Av.,"Moreno, Perito Av. Y Rivera Indarte Av.",7,Point (102067.32140821 97610.71255013),-58.44074927,-34.65080597,Peaton,Moto
2018-0015,2,2018-02-06,2018,2,6,01:00:00,1,Australia Av. 2800,Avenida,AUSTRALIA AV.,2800,Nan,Australia Av. 2800,4,Point (107053.47849253 98047.93724144),-58.38636298,-34.64684275,Moto,Pasajeros
2018-0016,1,2018-02-15,2018,2,15,10:15:00,10,"Del Libertador Av. Y Ramos Mejia, Jose Maria, Dr. Av.",Avenida,DEL LIBERTADOR AV.,0,"Ramos Mejia, Jose Maria, Dr. Av.","Del Libertador Av. Y Ramos Mejia, Jose Maria, Dr. Av.",1,Point (108069.68986814 104046.20018024),-58.37533517,-34.59276462,Moto,Cargas
2018-0017,1,2018-02-17,2018,2,17,04:15:00,4,San Pedrito Av. Y Rivadavia Av.,Avenida,SAN PEDRITO AV.,0,Rivadavia Av.,San Pedrito Av. Y Rivadavia Av.,7,Point (99418.67591727 99840.67619219),-58.46963952,-34.63070603,Peaton,Auto
2018-0018,1,2018-02-17,2018,2,17,07:15:00,7,"Isabel La Catolica Y Salvadores, Cnel.",Calle,ISABEL LA CATOLICA,0,"Salvadores, Cnel.","Isabel La Catolica Y Salvadores, Cnel.",4,Point (108363.47256437 98202.84498754),-58.37207554,-34.64543658,Moto,Cargas
2018-0019,1,2018-02-17,2018,2,17,12:30:00,12,Las Heras General Av. Y Callao Av.,Avenida,LAS HERAS GENERAL AV.,0,Callao Av.,Las Heras General Av. Y Callao Av.,2,Point (106550.65433457 104158.41702434),-58.39189441,-34.59176378,Peaton,Pasajeros
2018-0020,1,2018-02-19,2018,2,19,22:00:00,22,Fernandez De La Cruz Subida Au Héctor J. Cámpora,Autopista,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA,0,Nan,"Fernandez De La Cruz F., Gral. Av. Y Autopista Presidente Hector J. Campora",8,Point (101207.19032483 96015.90575056),-58.45012957,-34.66518343,Moto,Cargas
2018-0021,1,2018-02-22,2018,2,22,10:45:00,10,Amancio Alcorta Y Zavaleta,Avenida,"ALCORTA, AMANCIO AV.",0,Zavaleta,"Alcorta, Amancio Av. Y Zavaleta",4,Point (105634.57202683 98201.36000813),-58.40184094,-34.64546845,Peaton,Pasajeros
2018-0022,1,2018-02-24,2018,2,24,00:00:00,0,"Montes De Oca, Manuel Y Olavarria",Avenida,"MONTES DE OCA, MANUEL AV.",0,Olavarria,"Montes De Oca, Manuel Av. Y Olavarria",4,Point (108149.86840397 98842.98534187),-58.37441153,-34.63966783,Moto,Cargas
2018-0023,1,2018-02-24,2018,2,24,06:00:00,6,Barco Centenera Del Y Rosario,Calle,BARCO CENTENERA DEL,0,Rosario,Barco Centenera Del Y Rosario,6,Point (102035.73876399 100936.73706899),-58.44110156,-34.62082399,Moto,Auto
2018-0024,1,2018-02-28,2018,2,28,23:00:00,23,Alvarez Thomas Av. Y Donado,Avenida,ALVAREZ THOMAS AV.,0,Donado,Alvarez Thomas Av. Y Donado,15,Point (99305.05235104 105657.19134383),-58.47087351,-34.57827342,Peaton,Cargas
2018-0025,1,2018-03-04,2018,3,4,22:30:00,22,Av. Avellaneda Y Av. Boyacá,Avenida,AVELLANEDA AV.,0,Boyaca Av.,Avellaneda Av. Y Boyaca Av.,7,Point (100337.26455822 100756.41076314),-58.45962210,-34.62245140,Peaton,Auto
2018-0026,2,2018-03-09,2018,3,9,04:45:00,4,"Rabanal, Francisco, Intendente Av. Y Saenz Av.",Avenida,"RABANAL, FRANCISCO, INTENDENTE AV.",0,Saenz Av.,"Rabanal, Francisco, Intendente Av. Y Saenz Av.",4,Point (104283.01090451 97171.08656182),-58.41657793,-34.65476216,Movil,Cargas
2018-0027,1,2018-03-11,2018,3,11,23:00:00,23,Castro Y Rondeau,Calle,CASTRO,0,Rondeau,Castro Y Rondeau,5,Point (104051.46146857 99117.09528964),-58.41911301,-34.63722107,Peaton,Moto
2018-0028,1,2018-03-13,2018,3,13,15:45:00,15,"Bilbao, Francisco Av. Y Azul",Avenida,"BILBAO, FRANCISCO AV.",0,Azul,"Bilbao, Francisco Av. Y Azul",9,Point (99275.15851476 98531.15835355),-58.47120586,-34.64251042,Peaton,Cargas
2018-0029,1,2018-03-15,2018,3,15,18:00:00,18,Nazca Av. Y Gaona Av.,Avenida,NAZCA AV.,0,Gaona Av.,Nazca Av. Y Gaona Av.,11,Point (99001.33520474 100973.19474422),-58.47418944,-34.62049672,Moto,Auto
2018-0030,1,2018-03-20,2018,3,20,01:30:00,1,Plaza Y Alvarez Thomas Av.,Avenida,PLAZA,0,Alvarez Thomas Av.,Plaza Y Alvarez Thomas Av.,15,Point (99641.71055660 105570.42188351),-58.46720441,-34.57905579,Moto,Moto
2018-0031,1,2018-03-28,2018,3,28,10:15:00,10,"Gaona Av. Y Artigas, Jose Gervasio, Gral.",Avenida,GAONA AV.,0,"Artigas, Jose Gervasio, Gral.","Gaona Av. Y Artigas, Jose Gervasio, Gral.",11,Point (99468.64184992 101272.71412938),-58.46909362,-34.61779710,Moto,Cargas
2018-0032,1,2018-04-02,2018,4,2,13:00:00,13,Cabildo Av. Y Aguilar,Avenida,CABILDO AV.,0,Aguilar,Cabildo Av. Y Aguilar,13,Point (101491.71965442 106698.43843791),-58.44704343,-34.56888640,Peaton,Pasajeros
2018-0033,1,2018-04-07,2018,4,7,07:30:00,7,Camarones Y Lope De Vega Av.,Avenida,CAMARONES,0,Lope De Vega Av.,Camarones Y Lope De Vega Av.,10,Point (96143.57848535 100026.85558450),-58.50535541,-34.62902048,Moto,Cargas
2018-0034,1,2018-04-11,2018,4,11,18:15:00,18,Santa Fe Av. 2320,Avenida,SANTA FE AV.,2320,Nan,Santa Fe Av. 2320,2,Point (105786.93203839 103775.29320399),-58.40021675,-34.59522198,Peaton,Pasajeros
2018-0035,1,2018-04-12,2018,4,12,16:45:00,16,Av. Rivadavia 6950,Avenida,RIVADAVIA AV.,6950,Nan,Rivadavia Av. 6950,7,Point (100003.66169818 100008.18099088),-58.46325991,-34.62919627,Peaton,Pasajeros
2018-0036,1,2018-04-13,2018,4,13,23:15:00,23,Av. San Martín Y Argerich,Avenida,SAN MARTIN AV.,0,Argerich,San Martin Av. Y Argerich,15,Point (97118.17245497 103585.17867883),-58.49471482,-34.59694755,Moto,Auto
2018-0037,1,2018-04-18,2018,4,18,18:45:00,18,"Cordoba Av. Y Uriburu Jose E., Pres.",Avenida,CORDOBA AV.,0,"Uriburu Jose E., Pres.","Cordoba Av. Y Uriburu Jose E., Pres.",2,Point (105923.35790409 103271.83194351),-58.39872610,-34.59975962,Peaton,Cargas
2018-0038,2,2018-04-20,2018,4,20,17:10:00,17,Av. Rivadavia 1571,Avenida,RIVADAVIA AV.,1571,Nan,Rivadavia Av. 1571,1,Point (106840.31999667 102262.72809661),-58.38872177,-34.60885045,Peaton,Auto
2018-0039,1,2018-04-21,2018,4,21,22:15:00,22,Autopista Lugones Km 4.7,Autopista,"LUGONES, LEOPOLDO AV.",0,Nan,Nan,14,"Point(0, 0)",.,0,Peaton,Auto
2018-0040,1,2018-04-27,2018,4,27,11:00:00,11,Ramon Freire Y Virrey Olaguer Y Feliu,Calle,"FREIRE, RAMON, CAP. GRAL.",0,"Olaguer Y Feliu, Virrey","Freire, Ramon, Cap. Gral. Y Olaguer Y Feliu, Virrey",13,Point (100590.76036525 106235.55299971),-58.45686132,-34.57305993,Peaton,Cargas
2018-0041,1,2018-04-27,2018,4,27,13:30:00,13,"La Plata Av. Y Fernandez De La Cruz, F., Gral. Av.",Avenida,LA PLATA AV.,0,"Fernandez De La Cruz, F., Gral. Av.","La Plata Av. Y Fernandez De La Cruz, F., Gral. Av.",4,Point (103711.66698694 98495.65433114),-58.42281627,-34.64282424,Peaton,Pasajeros
2018-0042,1,2018-04-27,2018,4,27,18:43:00,18,Brandsen Y Perdriel,Calle,BRANDSEN,0,Perdriel,Brandsen Y Perdriel,4,Point (107026.83754260 98858.75172681),-58.38666024,-34.63953396,Moto,Cargas
2018-0043,1,2018-04-28,2018,4,28,06:30:00,6,"Vilardebo, Teodoro Y Alvarez Jonte Av.",Avenida,"VILARDEBO, TEODORO",0,Alvarez Jonte Av.,"Vilardebo, Teodoro Y Alvarez Jonte Av.",11,Point (97438.46582767 101907.03915052),-58.49122843,-34.61207587,Moto,Auto
2018-0044,1,2018-04-28,2018,4,28,09:00:00,9,Alberti E Independencia Av.,Avenida,ALBERTI,0,Independencia Av.,Alberti E Independencia Av.,3,Point (105715.04318224 101174.58167004),-58.40098306,-34.61866627,Peaton,Auto
2018-0045,1,2018-04-30,2018,4,30,07:00:00,7,Alvarez Thomas Av. 879,Avenida,ALVAREZ THOMAS AV.,879,Nan,Alvarez Thomas Av. 879,13,Point (100808.33159423 105557.81994917),-58.45448963,-34.57916920,Auto,Cargas
2018-0046,1,2018-05-02,2018,5,2,03:15:00,3,Av. Gral. Paz Y Av. Rivadavia,Avenida,"PAZ, GRAL. AV.",0,Rivadavia Av.,"Paz, Gral. Av. Y Rivadavia Av.",9,Point (93950.50587297 98883.37644525),-58.52927982,-34.63931752,Peaton,Auto
2018-0047,1,2018-05-08,2018,5,8,19:00:00,19,Av. Corrientes Y Av. Dorrego,Avenida,CORRIENTES AV.,0,Dorrego Av.,Corrientes Av. Y Dorrego Av.,15,Point (101440.29935254 104167.40204334),-58.44759966,-34.59170240,Peaton,Pasajeros
2018-0048,1,2018-05-09,2018,5,9,10:30:00,10,Rivadavia Av. Y Pedernera,Avenida,RIVADAVIA AV.,0,Pedernera,Rivadavia Av. Y Pedernera,7,Point (99925.51296558 100002.14427355),-58.46411215,-34.62925068,Peaton,Pasajeros
2018-0049,1,2018-05-11,2018,5,11,19:15:00,19,Quesada 2300,Calle,QUESADA,2300,Nan,Quesada 2300,13,Point (100107.11808300 108354.57023193),-58.46213220,-34.55395823,Peaton,Auto
2018-0050,1,2018-05-14,2018,5,14,18:45:00,18,Cabildo Av. Y Juramento Av.,Avenida,CABILDO AV.,0,Juramento Av.,Cabildo Av. Y Juramento Av.,13,Point (100606.16651489 107458.45493347),-58.45669422,-34.56203610,Peaton,Pasajeros
2018-0051,1,2018-05-15,2018,5,15,21:15:00,21,"California Y Carbonari, Francisco, Cmte.",Calle,CALIFORNIA,0,"Carbonari, Francisco, Cmte.","California Y Carbonari, Francisco, Cmte.",4,Point (109491.72835084 98425.60443682),-58.35977160,-34.64341878,Peaton,Auto
2018-0052,1,2018-05-18,2018,5,18,20:30:00,20,"Carril, Salvador Maria Del Av. Y Nazca",Avenida,"CARRIL, SALVADOR MARIA DEL AV.",0,Nazca,"Carril, Salvador Maria Del Av. Y Nazca",15,Point (96798.08806617 104278.02817622),-58.49820145,-34.59070093,Peaton,Pasajeros
2018-0053,1,2018-05-20,2018,5,20,02:30:00,2,San Luis Y Aguero,Calle,SAN LUIS,0,Aguero,San Luis Y Aguero,3,Point (104834.84104085 103313.26202067),-58.41059280,-34.59939180,Moto,Auto
2018-0054,1,2018-05-22,2018,5,22,11:15:00,11,Lugones 2430,Calle,LUGONES,2430,Nan,Lugones 2430,12,Point (98495.84519532 106440.03052817),-58.47969138,-34.57121563,Peaton,Bicicleta
2018-0055,1,2018-05-29,2018,5,29,07:30:00,7,Independencia Av. Y Jujuy Av.,Avenida,INDEPENDENCIA AV.,0,Jujuy Av.,Independencia Av. Y Jujuy Av.,3,Point (105482.77183741 101155.54165898),-58.40351561,-34.61883916,Moto,Auto
2018-0056,1,2018-06-02,2018,6,2,13:00:00,13,Av. Rivadavia 11050,Avenida,RIVADAVIA AV.,11050,Nan,Rivadavia Av. 11050,9,Point (94825.31796080 98898.07278223),-58.51973844,-34.63918987,Peaton,Pasajeros
2018-0057,1,2018-06-03,2018,6,3,03:30:00,3,Combate De Los Pozos Y Humberto 1°,Calle,COMBATE DE LOS POZOS,0,Humberto 1?,Combate De Los Pozos Y Humberto 1Â°,3,Point (106436.50690531 100845.32785530),-58.39311376,-34.62163006,Moto,Pasajeros
2018-0058,1,2018-06-03,2018,6,3,06:30:00,6,Cordoba Av. Y Thames,Avenida,CORDOBA AV.,0,Thames,Cordoba Av. Y Thames,15,Point (102567.54814228 104264.87527568),-58.43531242,-34.59082159,Moto,Auto
2018-0059,1,2018-06-08,2018,6,8,06:20:00,6,"Garay, Juan De Av. Y Sanchez De Loria",Avenida,"GARAY, JUAN DE AV.",0,Sanchez De Loria,"Garay, Juan De Av. Y Sanchez De Loria",5,Point (104724.05358972 99878.51159963),-58.41178165,-34.63035454,Moto,Otro
2018-0060,1,2018-06-08,2018,6,8,12:50:00,12,"Lavalle Y Alem, Leandro N. Av.",Avenida,LAVALLE,0,"Alem, Leandro N. Av.","Lavalle Y Alem, Leandro N. Av.",1,Point (108513.43549456 103032.95078343),-58.37048800,-34.60189492,Peaton,Pasajeros
2018-0061,1,2018-06-10,2018,6,10,11:15:00,11,Estados Unidos Y Pichincha,Calle,ESTADOS UNIDOS,0,Pichincha,Estados Unidos Y Pichincha,3,Point (105911.62147898 101065.51501699),-58.39883882,-34.61964833,Moto,Moto
2018-0062,1,2018-06-14,2018,6,14,01:00:00,1,Rosario Y Barco Centenera Del,Calle,ROSARIO,0,Barco Centenera Del,Rosario Y Barco Centenera Del,6,Point (102035.73876399 100936.73706899),-58.44110156,-34.62082399,Peaton,Cargas
2018-0063,1,2018-06-16,2018,6,16,21:15:00,21,Av. Leandro N. Alem Y Viamonte,Avenida,"ALEM, LEANDRO N. AV.",0,Viamonte,"Alem, Leandro N. Av. Y Viamonte",1,Point (108473.00357935 103295.64162815),-58.37093138,-34.59952725,Peaton,Pasajeros
2018-0064,1,2018-06-25,2018,6,25,01:15:00,1,Varela Av. Y Primera Junta,Avenida,VARELA AV.,0,Primera Junta,Varela Av. Y Primera Junta,7,Point (100435.26388900 98861.53271694),-58.45855262,-34.63953253,Auto,Cargas
2018-0065,1,2018-06-26,2018,6,26,17:30:00,17,"Pellegrini, Carlos Y Juncal",Calle,"PELLEGRINI, CARLOS",0,Juncal,"Pellegrini, Carlos Y Juncal",1,Point (107493.20906271 104038.93317074),-58.38161909,-34.59283447,Moto,Cargas
2018-0066,1,2018-06-28,2018,6,28,11:00:00,11,Av. Corrientes Y Av. Federico Lacroze,Avenida,CORRIENTES AV.,0,"Lacroze, Federico Av.","Corrientes Av. Y Lacroze, Federico Av.",15,Point (100750.52062158 104691.17506829),-58.45511899,-34.58698157,Peaton,Pasajeros
2018-0067,1,2018-06-29,2018,6,29,16:15:00,16,"Montes De Oca, Manuel Y Finochietto Enrique Dr.",Avenida,"MONTES DE OCA, MANUEL AV.",0,Finochietto Enrique Dr.,"Montes De Oca, Manuel Av. Y Finochietto Enrique Dr.",4,Point (107891.26340037 99945.61487141),-58.37724226,-34.62973033,Pasajeros,Auto
2018-0068,1,2018-07-01,2018,7,1,09:00:00,9,"Carabobo Av. Y Alberdi, Juan Bautista Av.",Avenida,CARABOBO AV.,0,"Alberdi, Juan Bautista Av.","Carabobo Av. Y Alberdi, Juan Bautista Av.",7,Point (100718.69831349 99996.27412808),-58.45546217,-34.62930339,Moto,Auto
2018-0069,1,2018-07-04,2018,7,4,21:45:00,21,"Córdoba Av. 2215

",Avenida,CORDOBA AV.,2215,Nan,Cordoba Av. 2215,2,Point (105900.94104333 103295.18325601),-58.39897064,-34.59954925,Bicicleta,Pasajeros
2018-0070,1,2018-07-07,2018,7,7,15:45:00,15,"Estados Unidos Y Urquiza, Gral.",Calle,ESTADOS UNIDOS,0,"Urquiza, Gral.","Estados Unidos Y Urquiza, Gral.",3,Point (104963.31095539 100886.97438212),-58.40917826,-34.62126274,Moto,Pasajeros
2018-0071,1,2018-07-10,2018,7,10,17:50:00,17,Moreno Y Av. Huergo,Avenida,MORENO,0,"Huergo, Ing. Av.","Moreno Y Huergo, Ing. Av.",1,Point (108808.25931028 102022.90885862),-58.36726348,-34.61099738,Moto,Cargas
2018-0072,1,2018-07-11,2018,7,11,13:15:00,13,"Au Dellepiane Kilometro 0.0, Altura Calle Montiel, Sentido Hacia El Centro Porteño",Autopista,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,0,Nan,Autopista Dellepiane Luis Tte. Gral. Y Montiel,8,Point (98224.62123059 93867.97738800),-58.48267426,-34.68454456,Moto,Cargas
2018-0073,1,2018-07-11,2018,7,11,15:45:00,15,"Iriarte, Gral. Av. 3400",Avenida,"IRIARTE, GRAL. AV.",3400,Nan,"Iriarte, Gral. Av. 3400",4,Point (106218.96559101 97510.98250186),-58.39546165,-34.65168841,Peaton,Cargas
2018-0074,1,2018-07-14,2018,7,14,06:04:00,6,Av. Juan B. Alberdi 2968,Avenida,"ALBERDI, JUAN BAUTISTA AV.",2968,Nan,"Alberdi, Juan Bautista Av. 2968",7,Point (99438.84176266 99501.28380301),-58.46941984,-34.63376545,Auto,Cargas
2018-0075,1,2018-07-15,2018,7,15,07:30:00,7,Del Libertador Av. Y Ortiz De Ocampo,Avenida,DEL LIBERTADOR AV.,0,Ortiz De Ocampo,Del Libertador Av. Y Ortiz De Ocampo,14,Point (105470.75546311 105320.72785650),-58.40367321,-34.58129246,Peaton,Auto
2018-0076,1,2018-07-16,2018,7,16,09:30:00,9,"Chavez, Jorge Y Paz, Gral. Av.",Calle,"CHAVEZ, JORGE",0,"Paz, Gral. Av.","Chavez, Jorge Y Paz, Gral. Av.",9,Point (93946.81673714 97681.68907836),-58.52932872,-34.65014993,Auto,Cargas
2018-0077,1,2018-07-16,2018,7,16,23:15:00,23,"Urquiza, Gral. Y Estados Unidos",Calle,"URQUIZA, GRAL.",0,Estados Unidos,"Urquiza, Gral. Y Estados Unidos",3,Point (104963.31095539 100886.97438212),-58.40917826,-34.62126274,Auto,Cargas
2018-0078,1,2018-07-21,2018,7,21,06:15:00,6,Paraguay Y Sánchez De Bustamante,Calle,PARAGUAY,0,Sanchez De Bustamante,Paraguay Y Sanchez De Bustamante,2,Point (104647.18963470 103830.17880585),-58.41264127,-34.59473294,Peaton,Auto
